X_i,Y_i,theta_i,l_i
0.99718,0.0150385,0.014313606434217805,0.005938608338659823
0.9882044999999999,0.014904500000000001,0.015232318850018961,0.012014393784124049
0.9753965,0.0146935,0.01756784621280986,0.013605099411617722
0.9616705,0.014426000000000001,0.021370130644067408,0.013852162899706312
0.94781,0.0141225,0.022415506806934132,0.013875485757262695
0.9339375,0.013808500000000001,0.022846164899779677,0.013876621274647538
0.9200595,0.0134875,0.023405650808856492,0.013886803591899735
0.9061794999999999,0.013157,0.02420799613770778,0.01388106714197438
0.892298,0.012813999999999999,0.025199907058171284,0.013890410217124572
0.878413,0.012459999999999999,0.025779364049498082,0.013888614761739207
0.8645285,0.0120995,0.026137366484826834,0.013889744202108294
0.8506385,0.011731499999999999,0.02683774327584599,0.013900005539567233
0.8367485,0.011353499999999999,0.027576730834051644,0.013890281278649398
0.822863,0.010967000000000001,0.028078460508413273,0.01389147565955474
0.8089729999999999,0.010572999999999999,0.028637627198872445,0.013899699277322475
0.795083,0.0101715,0.02915780063039613,0.013891904872982747
0.7811984999999999,0.009762,0.029811809123798515,0.013889171501569104
0.7673165,0.009344499999999999,0.030319932562249872,0.013887382834789203
0.7534335000000001,0.008921,0.030670969465872267,0.013891533428675216
0.7395465,0.008491499999999999,0.03116565629089959,0.013895747910781957
0.725652,0.008056,0.03150036823946093,0.013906899151140798
0.7117484999999999,0.0076135000000000005,0.0321310247646042,0.013914181901930134
0.7020869999999999,0.0073030000000000005,0.03211598459581597,0.005418794330845169
0.6950925,0.0070785,0.032066457084442807,0.008577409515698723
0.683976,0.006718,0.03263847866534919,0.013667279026931446
0.6703125000000001,0.0062699999999999995,0.03291413530526767,0.01367440634908878
0.6566415000000001,0.0058189999999999995,0.033040987509662494,0.013682467942589881
0.6429655000000001,0.0053644999999999995,0.03340133339301579,0.013684632914331366
0.629282,0.004906,0.03358853162436939,0.013697726088661558
0.6155904999999999,0.004444,0.033872966137372895,0.013700859279621912
0.606177,0.004123999999999999,0.03426784246550925,0.005137015865266499
0.6023259999999999,0.0039924999999999995,0.03386555220545278,0.0025694732923305656
0.5978005,0.0038380000000000003,0.03423003051014302,0.006486799904421302
0.5880765,0.003505,0.03423266863552564,0.012972600394677902
0.5748675000000001,0.003053,0.03417980027050205,0.013460862119492989
0.5629875,0.0026449999999999998,0.03452590797935409,0.010313146222176774
0.5530330000000001,0.0023025,0.034250295965462196,0.009607634724530278
0.5444530000000001,0.0020065,0.03478353057286819,0.007562574495500919
0.533679,0.0016324999999999998,0.034653741379492384,0.01399840437335622
0.5196864999999999,0.0011465,0.034784106575515804,0.014003470784059306
0.505692,0.0006595,0.03478659021512671,0.014002471389008392
0.49169799999999997,0.0001715,0.03492933502187203,0.014002541090816344
0.47770199999999996,-0.00031800000000000003,0.03499071342366024,0.014006573599563895
0.4637,-0.0008079999999999999,0.03497074359115162,0.014014568705457866
0.44969400000000004,-0.0012985,0.03504205410465338,0.014014603704707477
0.4356855,-0.0017894999999999999,0.035029559139984866,0.014019600636252086
0.4216725,-0.0022814999999999997,0.03516209817556117,0.014023668350328311
0.4076565,-0.002774,0.03508583126764288,0.014025632000020535
0.39364699999999997,-0.003266,0.03512338697181807,0.014010641241570651
0.379658,-0.0037565000000000003,0.03497428463392417,0.013984552084353638
0.365691,-0.0042455,0.03501935003655673,0.013966563106219108
0.3517395,-0.004732500000000001,0.034765477784527286,0.013953431477597172
0.3378005,-0.005216500000000001,0.03465202481217092,0.013941369301471045
0.3238765,-0.0056974999999999994,0.034409697117534124,0.01392324193569875
0.3099675,-0.0061755,0.03429568945104616,0.013911180323753982
0.29607150000000004,-0.0066495,0.03389873811213416,0.013896983917382921
0.282192,-0.0071175,0.03351304273531977,0.013877792511779435
0.2683295,-0.007579,0.03304462532764009,0.013862567907858869
0.254482,-0.0080335,0.032575178010561534,0.013847346352279938
0.240651,-0.008478,0.03167801184474883,0.01382893806479731
0.22683599999999998,-0.0089105,0.030914250048334566,0.013814600718080867
0.2130355,-0.009329500000000001,0.029788909002449477,0.013799122073523374
0.1992545,-0.0097325,0.02867976573564864,0.013774664642015766
0.1854985,-0.010116,0.02706171766225335,0.013748033786691104
0.171768,-0.0104755,0.02528983957014138,0.01372238802104066
0.1580725,-0.010807,0.023107127652056424,0.013676651088625452
0.144418,-0.011104,0.02038438646101362,0.013638833527835152
0.1308065,-0.011359000000000001,0.017073486169964805,0.013588980572508009
0.1172475,-0.011563,0.013006435252610239,0.013532144582437775
0.1037535,-0.011702500000000001,0.007653859604048761,0.013457394175693893
0.0903445,-0.011757,0.00044906815333243356,0.01336100134720448
0.0770555,-0.0116975,6.273728072304756,0.013217591081585182
0.063944,-0.011487,6.260430508584707,0.013009367855510885
0.051116499999999995,-0.011079,6.242098473577819,0.01265968407978651
0.0388435,-0.0104125,6.214954829295761,0.011924746454327654
0.0277145,-0.009448499999999999,6.175982779565442,0.010420822712243023
0.018593,-0.008255,6.123184430433668,0.007983978206383078
0.012001999999999999,-0.006994,6.0515688776767185,0.005445410911951458
0.007579,-0.0057845,5.96473786603463,0.003733721601833751
0.0045785,-0.0046315,5.849460961649244,0.0027055117815304374
0.002499,-0.0034714999999999998,5.676329628745981,0.0020743926822084572
0.001145,-0.0022305,5.37038712418978,0.0016417725177380698
0.0004485,-0.0009075,4.99352981916522,0.0014020449350858907
0.0002915,0.000504,4.6616196370452805,0.0014779042594160153
0.0006154999999999999,0.0021195,4.396804843203263,0.0018461727979796475
0.0014895,0.0040085,4.1861913950817256,0.0023394772920462383
