 0.0000000 0.0000000
 0.0002722 -.0015952
 0.0005319 -.0022948
 0.0007896 -.0028494
 0.0010462 -.0033303
 0.0015579 -.0041686
 0.0020680 -.0048937
 0.0025768 -.0055288
 0.0051095 -.0078869
 0.0101535 -.0110600
 0.0202114 -.0152308
 0.0302550 -.0183788
 0.0402912 -.0209903
 0.0503219 -.0232064
 0.0603492 -.0251820
 0.0803972 -.0286494
 0.0904188 -.0302069
 0.1004391 -.0316799
 0.1254849 -.0349892
 0.1505247 -.0378769
 0.1755594 -.0403926
 0.2005894 -.0425688
 0.2256161 -.0445036
 0.2506398 -.0462310
 0.2756608 -.0477530
 0.3006791 -.0490918
 0.3256950 -.0502523
 0.3507084 -.0512314
 0.3757190 -.0520125
 0.4007270 -.0526050
 0.4257324 -.0530064
 0.4507349 -.0532088
 0.4757345 -.0531965
 0.5007319 -.0530259
 0.5257273 -.0527197
 0.5507193 -.0521530
 0.5757076 -.0513265
 0.6006921 -.0502214
 0.6256720 -.0487928
 0.6506455 -.0469020
 0.6756113 -.0444586
 0.6806035 -.0438963
 0.7005657 -.0411985
 0.7254971 -.0362719
 0.7504186 -.0306382
 0.7753537 -.0259808
 0.7803422 -.0251533
 0.8002983 -.0220149
 0.8202578 -.0191028
 0.8252481 -.0184089
 0.8502025 -.0151410
 0.8751609 -.0121685
 0.9001219 -.0093751
 0.9200921 -.0072401
 0.9250848 -.0067255
 0.9500512 -.0043230
 0.9750227 -.0022855
 0.9800178 -.0019329
 0.9900086 -.0012757
 1.0000000 -.0006699
