.0         .0
.0002      .00445
.0004      .00549
.0006      .00626
.0008      .00687
.001       .00741
.002       .00943
.003       .01091
.004       .01212
.005       .01315
.010       .01695
.02        .02192
.03        .02539
.04        .02807
.05        .03024
.06        .03206
.07        .03360
.08        .03493
.09        .03608
.10        .03709
.125       .03911
.15        .04062
.175       .04173
.20        .04255
.25        .04351
.30        .04385
.35        .04362
.40        .04293
.45        .04176
.50        .04015
.55        .03810
.60        .03559
.65        .03258
.70        .02906
.725       .0272
.75        .0252
.775       .0231
.80        .0209
.825       .0187
.85        .0164
.875       .0141
.90        .0120
.925       .0101
.95        .0086
.96        .0080
.97        .0076
.98        .0073
.99        .0071
.995       .0070
1.         .0070
