Circumference: 2.0246590064382533 
X_i, Y_i, theta_i, l_i
0.9975, -0.000145, 0.057935093623416936, 0.005008402939061517
0.9924999999999999, -0.00044, 0.05992815512120784, 0.005008991914547282
0.985, -0.00088, 0.057935093623416936, 0.010016805878123035
0.975, -0.0014650000000000002, 0.058931682963631264, 0.010017389879604377
0.965, -0.00205, 0.057935093623416936, 0.010016805878123035
0.955, -0.00263, 0.057935093623416915, 0.010016805878123035
0.9375, -0.00365, 0.058333743296056506, 0.025042595712106114
0.9125000000000001, -0.00511, 0.05833374329605621, 0.025042595712106226
0.8875, -0.006565, 0.05793509362341693, 0.025042014695307587
0.8625, -0.008015, 0.05793509362341693, 0.025042014695307587
0.8374999999999999, -0.00946, 0.05753642551502497, 0.025041437658409334
0.8125, -0.010925, 0.05952958044543025, 0.02504436263912491
0.7875000000000001, -0.01247, 0.063912832788734, 0.025051147678300113
0.7625, -0.014095, 0.06590441768983735, 0.025054390832746284
0.7375, -0.015765, 0.06749730949055018, 0.02505705689022558
0.7124999999999999, -0.017455, 0.06749730949055018, 0.02505705689022558
0.675, -0.019935, 0.06530699647017249, 0.05010681490575901
0.625, -0.02308, 0.060326710734485804, 0.050091120969688874
0.575, -0.025935, 0.05374818300165861, 0.05007230871449801
0.525, -0.028425, 0.04576801627389941, 0.05005241352822064
0.475, -0.030484999999999998, 0.03658367049060663, 0.050033477792374166
0.42500000000000004, -0.032045, 0.025794277781188837, 0.05001663823169245
0.375, -0.033045, 0.01419904568612075, 0.05000504074590885
0.32499999999999996, -0.03345, 0.001999997333339791, 0.05000009999989999
0.275, -0.033235, 6.272585704158157, 0.05000280892109961
0.225, -0.0324, 6.260389256731778, 0.05001299431147868
0.1875, -0.0314, 6.248798866748044, 0.02501478762652206
0.16249999999999998, -0.03043, 6.2400121509838025, 0.02502331712623248
0.1375, -0.029205000000000002, 6.228440064081762, 0.025037509860207738
0.1125, -0.02766, 6.214493553476414, 0.025059098148177632
0.095, -0.02639, 6.201368358575932, 0.010033563673989426
0.08499999999999999, -0.02552, 6.191443559600342, 0.010042230827858913
0.07500000000000001, -0.024544999999999997, 6.18054724839067, 0.010052905052769567
0.065, -0.023445, 6.166714835706967, 0.010068212353739872
0.055, -0.02219, 6.149978810344658, 0.010089380555812131
0.045, -0.02074, 6.128432616501563, 0.01012094857214481
0.035, -0.01902, 6.0973543820946645, 0.010175185501994548
0.025, -0.016884999999999997, 6.048586077860186, 0.010281638974404808
0.015, -0.013985, 5.954550695113503, 0.01056542001058169
0.0075, -0.010935, 5.789601805356741, 0.00567768438714235
0.0045000000000000005, -0.009219999999999999, 5.646114977903903, 0.0012440257232067184
0.0035, -0.008405, 5.555922619182896, 0.0013386933928274988
0.0025, -0.00741, 5.450204040505154, 0.0014866068747318509
0.0015, -0.006085, 5.285355123273396, 0.0018445866745696717
0.0009, -0.0051, 5.156808190285789, 0.0004651881339845197
0.0007, -0.004645, 5.0999127861649685, 0.0005292447448959697
0.0005, -0.004095, 5.029213466252909, 0.0006419501538281617
0.00030000000000000003, -0.00328, 4.906010973240635, 0.0010394229168149028
0.0001, -0.001385, 4.784466070466973, 0.0027772108310317382
0.0001, 0.002225, 4.6674753849149, 0.004454492114708477
0.00030000000000000003, 0.0049700000000000005, 4.522400692465974, 0.0010590561835898981
0.0005, 0.005875, 4.458264230829055, 0.000795550124127952
0.0007, 0.006565, 4.395564494516471, 0.0006419501538281617
0.0009, 0.0071400000000000005, 4.357683328373749, 0.0005758472019555185
0.0015, 0.00842, 4.2527096045229165, 0.002253974267821174
0.0025, 0.010169999999999998, 4.118175276584256, 0.0017861690849412888
0.0035, 0.011515000000000001, 4.021728985003113, 0.0015697452022541754
0.0045000000000000005, 0.012635, 3.9417680663947334, 0.0014355835050598761
0.0075, 0.015050000000000001, 3.7914631030017407, 0.006280127387243033
0.015, 0.019435, 3.6028373837550594, 0.011166955717651968
0.025, 0.023655, 3.4755923712387458, 0.010584937411246227
0.035, 0.02673, 3.4034394448939076, 0.010352893315397394
0.045, 0.029155, 3.3552796606088315, 0.010232736681846164
0.055, 0.031149999999999997, 3.3216221477486343, 0.010164270755937186
0.065, 0.03283, 3.294392267526457, 0.01011788515451723
0.07500000000000001, 0.034265000000000004, 3.273816660678737, 0.010088057295634275
0.08499999999999999, 0.035505, 3.256089680357243, 0.01006590780804195
0.095, 0.036585, 3.242251306747522, 0.01005087558374892
0.1125, 0.038099999999999995, 3.2222175011465857, 0.025081475235719283
0.1375, 0.039865, 3.201919364324279, 0.02504556048484441
0.16249999999999998, 0.041175, 3.1859635119232643, 0.02502462986739264
0.1875, 0.04214, 3.1743808986593818, 0.025013444384970277
0.225, 0.04303, 3.1607902948154942, 0.050009215150809944
0.275, 0.04368, 3.148392548782034, 0.05000115598663694
0.32499999999999996, 0.043734999999999996, 3.1369926860347146, 0.05000052899720161
0.375, 0.043275, 3.127793529513709, 0.050004760773350414
