.0         .0
.0002     -.00277
.0004     -.00379
.0006     -.00440
.0008     -.00489
.001      -.00531
.002      -.00686
.003      -.00796
.004      -.00885
.005      -.00959
.010      -.01228
.02       -.01569
.03       -.01808
.04       -.01996
.05       -.02152
.06       -.02286
.07       -.02403
.08       -.02506
.09       -.02598
.10       -.02680
.125      -.02852
.15       -.02989
.175      -.03097
.20       -.03183
.25       -.03297
.30       -.03350
.35       -.03340
.40       -.03269
.45       -.03140
.50       -.02957
.55       -.02728
.60       -.02459
.65       -.02157
.70       -.01830
.725      -.01661
.75       -.01492
.775      -.01327
.80       -.01167
.825      -.01018
.85       -.00874
.875      -.00729
.90       -.00584
.925      -.00438
.95       -.00292
.96       -.00234
.97       -.00176
.98       -.00117
.99       -.00059
.995      -.00029
1.         .0
